,ISO3,R2
0,FJI,1.279672928
1,PRT,7.329357461
2,NRU,0.178762693
3,KNA,0.38542936
4,CPV,2.417383592
5,GIN,0.509369757
6,FRO,1.190090608
7,THA,1.578601329
8,MYT,0.472643488
9,DNK,4.630921199
10,GLP,0.40611479
11,BRB,0.385514349
12,JPN,52.36013593
13,HRV,1.111553097
14,BMU,0.155818985
15,TON,0.695732597
16,UKR,1.031030973
17,EST,1.042125967
18,MUS,0.524677704
19,ARE,8.680512821
20,IDN,19.356661
21,KIR,0.71741547
22,IND,13.40455343
23,JOR,0.49063245
24,PAN,4.686879157
25,DOM,2.37998337
26,CHL,9.797886034
27,MMR,0.299931567
28,ISL,8.299373051
29,HTI,1.881783186
30,TCA,0.654587845
31,RUS,6.669020202
32,NZL,8.370447545
33,PLW,0.347456954
34,NGA,3.119269103
35,AGO,1.963707317
36,CAN,4.789242762
37,BGR,0.58441768
38,NLD,7.039754171
39,GUY,0.386532009
40,GRL,7.948729306
41,MOZ,3.473608647
42,JAM,1.676868508
43,MAR,3.746250277
44,VCT,0.385601545
45,GRC,2.674564784
46,SXM,0.385267108
47,TUN,1.627508306
48,MNE,0.370932671
49,DMA,0.385518764
50,TKL,0.930982301
51,JEY,0.155065121
52,AUS,11.5672766
53,FIN,4.950922222
54,BGD,0.595562431
55,PRY,0.169945916
56,SWE,11.80476992
57,IRN,2.899511654
58,COG,0.455863135
59,FLK,0.121412804
60,ROU,0.406211921
61,CYM,0.459020971
62,SLV,0.378311258
63,CYP,0.547527072
64,NCL,0.698433149
65,EGY,3.080283814
66,CIV,1.104579006
67,GUF,0.386427152
68,VIR,0.654441989
69,LBN,0.771562431
70,TGO,0.481621413
71,CMR,1.236892818
72,BLZ,0.773785635
73,DEU,5.077019978
74,YEM,1.367581858
75,SYR,0.773695028
76,PAK,1.801085177
77,MDG,3.067591111
78,ISR,0.769328177
79,TLS,0.349514349
80,GIB,0.386397351
81,MRT,0.964923757
82,CUB,1.732443459
83,LBY,2.796679245
84,SUR,0.386532009
85,MNP,0.347433775
86,PER,2.485726164
87,GHA,1.074277348
88,TZA,1.204456858
89,MDV,0.386416115
90,LTU,0.706409492
91,SOM,1.287612832
92,SDN,0.475032009
93,HND,1.679647841
94,LVA,0.714412155
95,STP,0.386267108
96,CRI,1.232075221
97,CHN,48.19690654
98,MLT,0.571143488
99,ABW,0.38657947
100,ZAF,3.878054324
101,FRA,8.297617877
102,BRN,0.297565121
103,LCA,0.771409945
104,SVN,0.369688742
105,IRQ,2.858019934
106,PNG,4.981661093
107,QAT,1.37369469
108,LKA,0.413378587
109,ITA,13.47916535
110,GTM,1.232975691
111,MTQ,0.40607064
112,COK,0.696130387
113,BHS,5.44118701
114,LBR,0.481536424
115,COL,5.303567778
116,BLM,0.326770419
117,ARG,5.33068743
118,SGP,0.934391832
119,MHL,1.044358407
120,COM,1.213573481
121,GGY,0.30798232
122,USA,36.09002765
123,OMN,1.779337389
124,ATG,0.32689404
125,MYS,12.21357271
126,GMB,0.510874172
127,DJI,0.561610375
128,ALB,0.373119205
129,KHM,0.297486755
130,ECU,3.211258315
131,TUV,0.347421634
132,BHR,0.407466887
133,COD,1.162012168
134,GAB,0.734238674
135,BRA,13.59923596
136,URY,2.044566372
137,TUR,12.67404027
138,VGB,0.32693819
139,PRI,0.348711921
140,SLB,0.984746961
141,KWT,0.773796685
142,ERI,0.453727373
143,SAU,3.118910299
144,FSM,1.394334441
145,BEL,2.328065265
146,PHL,13.34002938
147,WSM,0.493233996
148,IRL,1.944102876
149,BEN,0.552952539
150,GNB,0.350231788
151,GUM,0.347527594
152,POL,2.726684735
153,VNM,3.633945495
154,VUT,0.699767956
155,GBR,15.86785827
156,KOR,10.44304246
157,ESP,21.9935941
158,PYF,0.758192265
159,CUW,0.38657947
160,NIC,0.758135912
161,GEO,0.688512707
162,SLE,0.552778146
163,SYC,0.50164128
164,NIU,0.347322296
165,GRD,0.385550773
166,NAM,0.771776796
167,VEN,2.431893215
168,KEN,0.461149007
169,WLF,0.696276243
170,ASM,0.348121413
171,SEN,0.521877483
172,GNQ,0.811235359
173,TTO,0.385285872
174,CXR,0.197043046
175,AIA,0.327107064
176,REU,0.525046358
177,MEX,7.62437626
178,NOR,26.88047454
179,DZA,4.88854343
