ports,MC,degree,eigenvector,betweenness,ISO3
400,1753.666667,28,0.003977726,3.54171E-05,VGB
401,0,25,0.002722064,0,TCA
402,0,25,0.002722064,0,TCA
403,4652.333333,23,0.008857708,0.00015621,HTI
404,46647.33333,56,0.033778256,0.000528441,ESP
405,169.5,7,0.002420538,2.89655E-05,COL
406,0,3,0.000845684,0,NIC
407,4683.833333,26,0.007069887,7.31003E-05,COL
408,0,5,0.001350815,0,HND
409,446.6666667,9,0.002486626,2.58305E-05,BLZ
410,0,5,0.001350815,0,MEX
411,142.1666667,6,0.001756209,3.17784E-06,USA
412,41.66666667,6,0.001560182,3.32912E-06,HND
413,9.833333333,5,0.00120703,8.16608E-07,USA
414,148,7,0.000741853,2.3026E-05,CPV
415,1804.5,14,0.003877806,0.000352265,GNB
416,0,4,0.000615726,0,USA
417,424.1666667,7,0.001302271,0.000601411,USA
418,0,5,0.002284631,0,NOR
419,0,2,0.000828628,0,CAN
420,0,4,0.000578254,0,CAN
421,0,4,0.000578254,0,USA
422,0,4,0.000578254,0,CAN
423,0,4,0.000125163,0,USA
424,0,4,0.000125163,0,MEX
425,0,4,0.000125163,0,MEX
426,0,3,0.000731537,0,JEY
427,0,3,0.000731537,0,GGY
428,0,3,0.000731537,0,GGY
429,32199.66667,40,0.032376097,0.004410025,GTM
430,67911.33333,58,0.047452948,0.006993818,MEX
431,61428.5,52,0.045179426,0.001194333,USA
432,49179.83333,52,0.030090911,0.000698818,FRA
433,832,11,0.006500279,8.39668E-06,ESP
434,4604.666667,19,0.009242129,8.47075E-05,ITA
435,18757.5,36,0.026788174,0.000241127,ITA
436,1429.166667,17,0.005942175,7.95187E-06,SUR
437,1429.166667,17,0.005942175,7.95187E-06,GUY
438,311.5,11,0.003480559,9.63488E-06,HTI
439,0,8,0.003066577,0,COL
440,0,4,0.002011085,0,ECU
441,19938.16667,38,0.02889374,0.001134863,MEX
442,175.1666667,10,0.004567069,4.9967E-06,NIC
443,2406.333333,19,0.006841109,8.81373E-05,CRI
444,1038.333333,15,0.005671373,6.16633E-05,SLV
445,5308.5,21,0.020087952,0.001401772,CHL
446,4699.666667,20,0.016874732,0.000181243,MEX
447,303.5,11,0.003683448,0.000121876,USA
448,14232.66667,32,0.026010195,0.000427024,CHL
449,1094.666667,19,0.024579918,7.17042E-06,CAN
450,45577.33333,54,0.045663496,0.002713283,CHN
451,7686.5,30,0.030243806,3.64063E-05,USA
452,568.3333333,9,0.01163477,4.17469E-06,USA
453,32139,59,0.033216723,0.000194293,JPN
454,85402.5,69,0.050226403,0.001107706,CHN
455,10669.33333,26,0.021377025,0.000192457,JPN
456,69273.66667,67,0.049831785,0.000888652,KOR
457,213.5,9,0.002284579,5.13329E-05,MEX
458,13952.83333,33,0.017707781,0.002434157,WSM
459,8518.166667,29,0.017657966,0.000666077,ASM
460,47602.83333,52,0.028942155,0.008190502,FJI
461,6236.333333,23,0.01626758,6.86044E-05,USA
462,76692,69,0.053251786,0.000770523,CHN
463,8484.166667,27,0.02852406,0.000346415,OMN
464,42258,54,0.049499893,0.000909671,QAT
465,24777,44,0.047601042,0.000113796,SAU
466,10705.66667,28,0.027519154,0.0004331,BHR
467,269209.6667,116,0.066890487,0.002165727,JPN
468,61590.5,65,0.051257076,0.001543558,VNM
469,141114.6667,93,0.05566895,0.001206509,JPN
470,0,16,0.01335303,0,USA
471,0,16,0.01335303,0,USA
472,0,16,0.01335303,0,CAN
473,2433.5,22,0.016846539,1.1198E-05,JPN
474,32565.16667,59,0.031669491,0.000231187,JPN
475,14704.5,32,0.030971329,0.000542301,UKR
476,2347.833333,16,0.008996008,1.72784E-05,ESP
477,1066.166667,12,0.004534071,0.000225258,CPV
478,1066.166667,12,0.004534071,0.000225258,CPV
479,9698,36,0.040697876,3.37069E-05,SAU
480,19715.66667,37,0.039068514,0.000435253,JOR
481,4660.666667,21,0.025482558,2.70231E-05,EGY
482,0,7,0.004354889,0,MRT
483,6108.833333,21,0.020277565,0.000687598,NGA
484,390.6666667,10,0.00573608,6.40319E-06,ESP
485,198.3333333,9,0.004363541,2.49117E-06,ESP
486,0,5,0.004611219,0,MAR
487,8466.333333,25,0.025135126,0.000391027,BRA
488,4620.333333,24,0.017536319,9.48089E-05,SYR
489,37541.83333,46,0.039173229,0.001921233,PAK
490,0,13,0.00863769,0,FRA
491,1500.833333,15,0.006659321,2.2224E-05,ESP
492,506.8333333,10,0.004408431,4.02202E-05,ESP
493,1997.5,15,0.006484905,8.21088E-05,ESP
494,2773.166667,17,0.006650105,0.000100394,ESP
495,0,7,0.003807739,0,ESP
496,813.6666667,11,0.006991201,3.2806E-06,FRA
497,0,10,0.005796784,0,DZA
498,776.1666667,13,0.007997857,1.76302E-05,TUN
499,250.3333333,14,0.008459723,3.96917E-06,DZA
500,0,2,0.001635651,0,ITA
501,19497.83333,36,0.032181077,0.000421374,ROU
502,28099.66667,41,0.031789879,0.000999319,SVN
503,281.3333333,10,0.003811432,5.19384E-06,HRV
504,16915.5,30,0.025435401,0.000819311,HRV
505,3972.5,20,0.008009098,0.000148585,ITA
506,447.8333333,11,0.003842239,1.25582E-05,MNE
507,167.8333333,5,0.002487858,2.76599E-06,ITA
508,180.3333333,8,0.00399598,3.65613E-06,BGR
509,1959.333333,19,0.012527294,7.06764E-05,UKR
510,463.6666667,9,0.003052428,5.42413E-05,GEO
511,0,3,0.001335886,0,ITA
512,3147.333333,20,0.010424261,0.000105187,ALB
513,1337,14,0.008832389,2.81962E-05,LBY
514,58453.83333,54,0.040184834,0.004522915,KEN
515,36022.16667,45,0.037081768,0.000721312,TZA
516,0,9,0.005277643,0,ITA
517,328.5,8,0.004112834,3.35715E-06,TUN
518,11797,30,0.027882978,0.000190529,ITA
519,19554.16667,36,0.027380936,0.000754393,ITA
520,166.3333333,9,0.006165691,4.91362E-07,LBN
