ISO3,R1_MLL,R2_MLL,R1,R2,R1_improve_rate,R2_improve_rate,number of domestic ports,number of international links
BLZ,1.21709151,1.441314917,0.772141125,0.773785635,0.576255261,0.862679859,2,18
DEU,2.015489526,5.270976693,1.721120176,5.077019978,0.171033583,0.038202866,6,466
YEM,2.404331863,2.870329646,1.360359427,1.367581858,0.767423973,1.098835714,3,14
SYR,1.111572216,1.885416575,0.772141125,0.773695028,0.439597219,1.436898915,2,29
PAK,1.182214994,2.892381637,0.794100331,1.801085177,0.488747641,0.605910522,3,91
MDG,4.888905182,6.179594444,2.714257993,3.067591111,0.801193989,1.014477882,7,37
ISR,0.192502756,1.922101657,0.192390298,0.769328177,0.000584532,1.49841578,2,140
TLS,0.871734289,0.946067329,0.347157663,0.349514349,1.511061635,1.706805405,1,4
GIB,0.828041896,0.963338852,0.386070562,0.386397351,1.144794185,1.493130063,1,6
MRT,1.14777839,1.936110497,0.767259096,0.964923757,0.49594628,1.006490651,2,32
CUB,2.586993385,3.736528825,1.72291731,1.732443459,0.501519179,1.156796983,5,41
LBY,2.559570011,5.813034406,2.091047409,2.796679245,0.224061205,1.078548842,6,122
SUR,0.503651599,0.913538631,0.386070562,0.386532009,0.30455841,1.363422977,1,17
MNP,0.482825799,0.933651214,0.347157663,0.347433775,0.390796894,1.687278213,1,18
PER,2.177001103,4.902899113,1.63054355,2.485726164,0.335138275,0.972421252,5,118
GHA,0.48522602,1.531675138,0.484237045,1.074277348,0.002042336,0.425772535,2,86
TZA,1.42515215,2.017793142,0.987598677,1.204456858,0.443047852,0.675272243,3,62
MDV,0.758884234,0.917318985,0.386198456,0.386416115,0.965011051,1.37391493,1,7
LTU,0.146968026,0.98313245,0.147753032,0.706409492,0,0.391731653,1,56
SOM,1.817275634,2.250625,1.229472988,1.287612832,0.478093176,0.747905072,3,27
SDN,0.760148842,0.949149007,0.453453142,0.475032009,0.676355883,0.99807379,1,8
HND,1.951285557,2.515241417,1.465115766,1.679647841,0.331830291,0.49748141,4,45
LVA,1.267066152,1.466483978,0.653030871,0.714412155,0.940285228,1.052714204,2,25
STP,0.588743109,0.93605298,0.386198456,0.386267108,0.524457439,1.423330801,1,14
CRI,1.402962514,1.888744469,0.686920617,1.232075221,1.042393952,0.532978212,3,84
CHN,13.20933517,50.2816507,10.75286218,48.19690654,0.228448291,0.04325473,51,2090
MLT,0.03693495,0.97633223,0.03693495,0.571143488,1.04478E-08,0.709434232,1,124
